"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","599","Проверка если поля пароль нет, запрос возвращает ошибку","tests","2025-11-06","passed","2025-11-06","TestUserLogin","test_user_login","",""
"","272","Проверка наличия обязательных полей Проверка если email нет - запрос возвращает ошибку","tests","2025-11-06","passed","2025-11-06","TestUserCreate","test_user_registration","",""
"","755","Проверка пользователь может авторизоваться по емайл и паролю","tests","2025-11-06","passed","2025-11-06","TestUserLogin","test_user_login","",""
"","577","Без авторизации:Проверка создания заказа c ингредиентами","tests","2025-11-06","passed","2025-11-06","TestOrderCreate","test_create_order","",""
"","644","Проверка нельзя создать пользователя который уже зарегистрировался ","tests","2025-11-06","passed","2025-11-06","TestUserCreate","test_user_registration","",""
"","397","Проверка успешное создание уникального пользователя","tests","2025-11-06","passed","2025-11-06","TestUserCreate","test_user_registration","",""
"","312","Проверка наличия обязательных полей Проверка если пароля нет - запрос возвращает ошибку","tests","2025-11-06","passed","2025-11-06","TestUserCreate","test_user_registration","",""
"","643","Проверка система вернёт ошибку, если неправильно указать email","tests","2025-11-06","passed","2025-11-06","TestUserLogin","test_user_login","",""
"","674","Проверка система вернёт ошибку, если неправильно указать пароль","tests","2025-11-06","passed","2025-11-06","TestUserLogin","test_user_login","",""
"","263","Без авторизации: Проверка создания заказа с невалидным хэшем - ошибка 500","tests","2025-11-06","passed","2025-11-06","TestOrderCreate","test_create_order","",""
"","281","Проверка наличия обязательных полей Проверка если имени нет - запрос возвращает ошибку","tests","2025-11-06","passed","2025-11-06","TestUserCreate","test_user_registration","",""
"","599","Проверка если авторизоваться под несуществующим пользователем, запрос возвращает ошибку","tests","2025-11-06","passed","2025-11-06","TestUserLogin","test_user_login","",""
"","5184","C Авторизацией: Проверка создания заказа","tests","2025-11-06","passed","2025-11-06","TestOrderCreate","test_create_order","",""
"","288","Без авторизации: Проверка создания заказа без ингредиентов - ошибка 400","tests","2025-11-06","passed","2025-11-06","TestOrderCreate","test_create_order","",""
"","680","Проверка если поля email нет, запрос возвращает ошибку","tests","2025-11-06","passed","2025-11-06","TestUserLogin","test_user_login","",""
